date,index,air
2015-06-17,168,301.33001708984375
2015-06-18,169,300.6199951171875
2015-06-19,170,300.27001953125
2015-06-20,171,300.95001220703125
2015-06-21,172,299.91998291015625
2015-06-22,173,300.17999267578125
2015-06-23,174,300.67999267578125
2015-06-24,175,300.7200012207031
2015-06-25,176,300.7200012207031
2015-06-26,177,300.91998291015625
2015-06-27,178,301.2200012207031
2015-06-28,179,301.07000732421875
2015-06-29,180,301.29998779296875
2015-06-30,181,302.3599853515625
2015-07-01,182,302.45001220703125
2015-07-02,183,301.3599853515625
2015-07-03,184,301.6499938964844
2015-07-04,185,301.6199951171875
2015-07-05,186,300.7799987792969
2015-07-06,187,300.29998779296875
2015-07-07,188,299.95001220703125
2015-07-08,189,300.1499938964844
2015-07-09,190,300.02001953125
2015-07-10,191,300.2799987792969
