datetime,lat,lng,elev,variable,value
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,shum,6.98924933861963e-05
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,air,298.15
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,uwnd,0.0
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,vwnd,4.11522633744856
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,press,102600.0
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,rhum,57.39809631500632
2020-11-25 22:00:00,-27.166666666666668,-109.43333333333334,69,shum,0.00011016053873622179
2020-11-25 22:00:00,-40.6,-73.03333333333333,65,air,288.15
2020-11-25 22:00:00,-40.6,-73.03333333333333,65,uwnd,-1.1772619877190065
2020-11-25 22:00:00,-40.6,-73.03333333333333,65,vwnd,6.582801110196792
